zip,county,latitude,longitude,est_population
80924,El Paso County,38.97,-104.72,8570
80925,El Paso County,38.76,-104.66,10160
80926,El Paso County,38.63,-104.9,1240
80927,El Paso County,38.92,-104.67,2970
80928,El Paso County,38.63,-104.4,910
80929,El Paso County,38.82,-104.63,280
80930,El Paso County,38.81,-104.5,1590
80931,El Paso County,38.86,-104.76,425
80932,El Paso County,38.86,-104.76,509
80933,El Paso County,38.86,-104.76,467
80934,El Paso County,38.86,-104.76,387
80935,El Paso County,38.86,-104.76,1747
80936,El Paso County,38.86,-104.76,804
80937,El Paso County,38.86,-104.76,352
80938,El Paso County,38.9,-104.66,0
80939,El Paso County,38.88,-104.68,0
80940,El Paso County,38.88,-104.67,0
80941,El Paso County,38.86,-104.76,0
80942,El Paso County,38.86,-104.76,0
80943,El Paso County,38.86,-104.76,0
80944,El Paso County,38.86,-104.76,0
80945,El Paso County,38.86,-104.76,0
80946,El Paso County,38.86,-104.76,38
80947,El Paso County,38.86,-104.76,0
80949,El Paso County,38.86,-104.76,604
80950,El Paso County,38.86,-104.76,0
80951,El Paso County,38.89,-104.65,4340
80960,El Paso County,38.86,-104.76,503
80962,El Paso County,38.86,-104.76,802
80970,El Paso County,38.86,-104.76,797
80977,El Paso County,38.86,-104.76,0
80995,El Paso County,38.86,-104.76,0
80997,El Paso County,38.86,-104.76,0
81001,Pueblo County,38.29,-104.54,23640
81002,Pueblo County,38.27,-104.62,271
81003,Pueblo County,38.27,-104.62,9710
81004,Pueblo County,38.04,-104.71,19010
81005,Pueblo County,38.2,-104.81,27170
81006,Pueblo County,38.24,-104.5,10120
81007,Pueblo County,38.36,-104.77,28130
81008,Pueblo County,38.44,-104.62,9820
81009,Pueblo County,38.27,-104.62,0
81010,Pueblo County,38.27,-104.62,0
81011,Pueblo County,38.27,-104.62,0
81012,Pueblo County,38.27,-104.62,0
81019,Pueblo County,37.94,-104.84,1992
81020,Las Animas County,37.4,-104.65,670
81021,Kiowa County,38.33,-103.33,0
81022,Pueblo County,38.23,-104.35,1230
81023,Pueblo County,38.08,-104.98,1100
81024,Las Animas County,37.25,-104.73,214
81025,Pueblo County,38.25,-104.25,760
81027,Las Animas County,37.01,-103.87,128
81029,Baca County,37.1,-102.57,230
81030,Otero County,38.1,-103.52,223
81033,Crowley County,38.19,-103.86,123
81034,Crowley County,38.19,-103.85,0
81036,Kiowa County,38.48,-102.77,780
81038,Bent County,38.08,-103.14,0
81039,Otero County,38.12,-104.02,1520
81040,Huerfano County,37.78,-105.17,310
81041,Prowers County,38.06,-102.31,660
81043,Prowers County,38.13,-102.22,57
81044,Bent County,37.93,-102.95,191
81045,Kiowa County,38.45,-103.16,117
81046,Las Animas County,37.28,-104.38,108
81047,Prowers County,38.05,-102.12,1300
81049,Las Animas County,37.24,-103.35,200
81050,Otero County,37.98,-103.54,7910
