LNG,LAT,ROUTES,STOPNAME,DIR,DISTANCE_FROM_STREET,CITY,POSTAL,CORNER,ON_STREET,AT_STREET,STOPNAME_BSID,,County
-105.080201,39.646073,35,W Mansfield Ave & S Wadsworth Blvd,W,250,Lakewood,80235,NE,W Mansfield Av,S Wadsworth Blvd,W Mansfield Ave & S Wadsworth Blvd (Stop No. 25456),,Lakewood County
-105.0945634,39.66780962,30L,W Yale Ave & S Estes St,W,110,Lakewood,80227,NE,W Yale Av,S Estes St,W Yale Ave & S Estes St (Stop No. 18420),,Lakewood County
-104.918725,39.725289,6,6th Ave & Ivy Ln,E,175,Denver,80220,SE,E 6th Av S,Ivy Ln,6th Ave & Ivy Ln (Stop No. 11556),,Denver County
-104.854368,39.747498,20,Montview Blvd & Moline St,W,7,Aurora,80010,NW,Montview Blvd,Moline St,Montview Blvd & Moline St (Stop No. 15590),,Aurora County
-105.1095336,39.66219312,99,S Kipling St & W Cornell Pl,N,70,Lakewood,80227,NE,S Kipling St,W Cornell Pl,S Kipling St & W Cornell Pl (Stop No. 14861),,Lakewood County
-105.1097389,39.66189563,99,S Kipling St & W Cornell Pl,S,10,Lakewood,80227,SW,S Kipling St,W Cornell Pl,S Kipling St & W Cornell Pl (Stop No. 14862),,Lakewood County
-105.164914,39.986944,DASH,South Boulder Rd & McCaslin Blvd {1102},W,150,Boulder,80303,NW,S Boulder Rd,Continental View Dr,South Boulder Rd & McCaslin Blvd {1102} (Stop No. 19451),,Boulder County
-104.9875089,39.75938195,48,Broadway & Blake St,NW,25,Denver,80205,NE,Broadway,Blake St,Broadway & Blake St (Stop No. 33349),,Denver County
-105.115469,40.14892282,323,S Sherman St & Iowa St {1103},N,45,Longmont,80501,NE,S Sherman St,Iowa St,S Sherman St & Iowa St {1103} (Stop No. 34185),,Longmont County
-105.074672,40.19966513,323,Olympia Ave & Pace St {1103},W,90,Longmont,80504,NW,Olympic Ave,Pace St,Olympia Ave & Pace St {1103} (Stop No. 34353),,Longmont County
-105.014954,39.776607,44,W 44th Ave & Wyandot St,W,65,Denver,80211,NW,W 44th Av,Wyandot St,W 44th Ave & Wyandot St (Stop No. 11199),,Denver County
-104.919952,39.725672,6,6th Ave & Jersey St,W,150,Denver,80220,NW,E 6th Av N,Jersey St,6th Ave & Jersey St (Stop No. 11559),,Denver County
-104.980921,39.725566,6,6th Ave & Pennsylvania St,E,70,Denver,80203,SE,E 6th Av,Pennsylvania St,6th Ave & Pennsylvania St (Stop No. 11583),,Denver County
-104.7725402,39.68749853,133,S Tower Rd & Iowa Dr,S,75,Aurora,80017,,S Tower Rd,E Iowa Dr,S Tower Rd & Iowa Dr (Stop No. 26402),,Aurora County
-104.7848703,39.65320062,133,Hampden Ave & S Telluride St,W,75,Aurora,80013,NW,E Hampden Ave,S Telluride St,Hampden Ave & S Telluride St (Stop No. 26406),,Aurora County
-104.8447546,39.74667774,20,Quentin St & 19th Pl,S,75,Aurora,80010,NE,Quentin St,E 19th Pl,Quentin St & 19th Pl (Stop No. 26408),,Aurora County
-104.8446105,39.74419092,"20, FF",Quentin St & 17th Pl,N,50,Aurora,80045,,Quentin St,E 17th Pl,Quentin St & 17th Pl (Stop No. 26410),,Aurora County
-105.081351,39.722168,"76, 87L",Wadsworth Blvd & W 4th Ave,N,75,Lakewood,80226, ,Wadsworth Blvd,W 2nd Ave,Wadsworth Blvd & W 4th Ave (Stop No. 22917),,Lakewood County
-104.900667,39.674967,21,Iliff Ave & S Rosemary St,W,213,Denver,80231,NW,E Iliff Av,S Rosemary St,Iliff Ave & S Rosemary St (Stop No. 20443),,Denver County
-105.2837259,40.0161531,HOP,9th St & Walnut St,S,10,Boulder,80302,NW,9th St,Walnut St,9th St & Walnut St (Stop No. 25303),,Boulder County
-105.0543783,39.65724761,51,W Colgate Pl & S Sheridan Blvd,W,150,Denver,80227,NW,W Colgate Pl,S Sheridan Blvd,W Colgate Pl & S Sheridan Blvd (Stop No. 34201),,Denver County
-105.12851,39.627243,116X,S Simms St & W Chenango Ave,N,10,Littleton,80127,SE,S Simms St,W Chenango Av,S Simms St & W Chenango Ave (Stop No. 23602),,Littleton County
-105.1306269,40.14740047,323,Hover St & Village at The Peaks Mall {1103},N,75,Longmont,80501,,Hover St,Village at the Peaks Mall,Hover St & Village at The Peaks Mall {1103} (Stop No. 34666),,Longmont County
-104.773843,39.549847,483,Crown Crest Blvd & S Parker Rd {1408},NE,75,Parker,80138,SE,Crown Crest Blvd,Parker Rd,Crown Crest Blvd & S Parker Rd {1408} (Stop No. 25739),,Parker County
-104.808517,39.638601,139,Quincy Ave & S Chambers Way,W,90,Aurora,80013,NW,E Quincy Av,S Chambers Wy,Quincy Ave & S Chambers Way (Stop No. 16199),,Aurora County
-104.828388,39.72467,6,Potomac St & 6th Ave,S,75,Aurora,80011,SW,Potomac St,E 6th Av,Potomac St & 6th Ave (Stop No. 20718),,Aurora County
-104.8245486,39.58418568,153,Fremont Ave & S Blackhawk St,E,87,Englewood,80112,SE,E Fremont Ave,S Blackhawk St,Fremont Ave & S Blackhawk St (Stop No. 26416),,Englewood County
-105.08694,39.776569,44,W 44th Ave & Ammons St,E,90,Wheat Ridge,80033,SE,W 44th Av,Ammons St,W 44th Ave & Ammons St (Stop No. 11111),,Wheat Ridge County
-105.023814,39.66044,35,W Dartmouth Ave & S Federal Blvd,E,250,Denver,80236,SE,W Dartmouth Av,S Federal Blvd,W Dartmouth Ave & S Federal Blvd (Stop No. 13264),,Denver County
-105.253563,40.015299,BOND,30th St & Arapahoe Ave,N,150,Boulder,80301,NE,30th St,Arapahoe Ave,30th St & Arapahoe Ave (Stop No. 10834),,Boulder County
-105.253537,40.02649442,BOND,30th St & Steelyard Pl,N,160,Boulder,80301,NE,30th St,Mapleton Ave,30th St & Steelyard Pl (Stop No. 10840),,Boulder County
-105.517223,39.9574876,NB,Eldora Rd & Hwy 72,W,75,Nederland,80466,NW,Eldora Rd,State Hwy 119,Eldora Rd & Hwy 72 (Stop No. 18030),,Nederland County
-105.178724,39.986652,DASH,South Boulder Rd & Barcelona Dr,E,125,Boulder,80303,SE,S Boulder Rd,Barcelona Dr,South Boulder Rd & Barcelona Dr (Stop No. 18046),,Boulder County
-105.005348,39.913764,"TNFX, 120, 114",W 120th Ave & Pecos St,E,200,Westminster,80234,SE,W 120th Av,Pecos St,W 120th Ave & Pecos St (Stop No. 18050),,Westminster County
-104.822526,39.711003,"3L, 3, 6",Alameda Ave & S Blackhawk St,E,100,Aurora,80012,SE,E Alameda Av,S Abilene St,Alameda Ave & S Blackhawk St (Stop No. 21050),,Aurora County
-104.772628,39.668581,133,S Tower Rd & S Telluride St,S,125,Aurora,80013,SW,S Tower Rd,S Telluride St,S Tower Rd & S Telluride St (Stop No. 23811),,Aurora County
-104.771295,39.665519,133,Amherst Ave & S Tower Rd,E,250,Aurora,80013,SE,E Amherst Av,S Tower Rd,Amherst Ave & S Tower Rd (Stop No. 23812),,Aurora County
-104.767675,39.664228,133,Amherst Ave & Bates Ave,SE,100,Aurora,80013,NW,S Ceylon Wy,E Bates Av,Amherst Ave & Bates Ave (Stop No. 23813),,Aurora County
-104.9463182,39.93219928,39L,Cottonwood Lakes Blvd & Dyanna Dr {1203},E,170,Thornton,80241,SW,Cottonwood Lakes Blvd,Dyanna Dr,Cottonwood Lakes Blvd & Dyanna Dr {1203} (Stop No. 33493),,Thornton County
-105.0065499,39.78454688,19,Pecos St & W 48th Ave,S,90,Denver,80221,NW,Pecos St,W 48th Av,Pecos St & W 48th Ave (Stop No. 15823),,Denver County
-105.1396623,39.70372773,21,S Xenon Ct & W Alameda Dr {1304},SE,300,Lakewood,80228,SW,S Xenon Ct,W Alameda Dr,S Xenon Ct & W Alameda Dr {1304} (Stop No. 23544),,Lakewood County
-105.076057,39.88254313,"114, 104",Church Ranch Blvd & W 103rd Ave,N,150,Westminster,80021,NE,Church Ranch Blvd,W 103rd Ave,Church Ranch Blvd & W 103rd Ave (Stop No. 24190),,Westminster County
-105.062533,39.8563467,"100, 92",W 88th Ave & Harlan St,E,75,Westminster,80003,SE,W 88th Av,Harlan St,W 88th Ave & Harlan St (Stop No. 11800),,Westminster County
-105.05646,39.85654,"100, 92",W 88th Ave & Benton St,W,125,Westminster,80031,NW,W 88th Av,Benton St,W 88th Ave & Benton St (Stop No. 11804),,Westminster County
-104.954089,39.764526,34,Bruce Randolph Ave & Fillmore St,W,75,Denver,80205,NW,E Bruce Randolph Av,Fillmore St,Bruce Randolph Ave & Fillmore St (Stop No. 10945),,Denver County
-104.9459576,39.76453291,34,Bruce Randolph Ave & Madison St,W,75,Denver,80205,NW,E Bruce Randolph Av,Monroe St,Bruce Randolph Ave & Madison St (Stop No. 10954),,Denver County
-104.950511,39.764515,34,Bruce Randolph Ave & Steele St,W,160,Denver,80205,NW,E Bruce Randolph Av,Steele St,Bruce Randolph Ave & Steele St (Stop No. 10958),,Denver County
-105.017733,39.769202,38,W 38th Ave & Alcott St,E,25,Denver,80211,SW,W 38th Av,Alcott St,W 38th Ave & Alcott St (Stop No. 10967),,Denver County
-105.110588,39.7111,"99, 3, 99L",W Alameda Ave & S Kipling St {1304},W,250,Denver,80225,NW,W Alameda Av,S Kipling St,W Alameda Ave & S Kipling St {1304} (Stop No. 24004),,Denver County
-105.0796813,39.70673016,"11, 76, 14, 87L",S Vance St & W Virginia Ave,N,150,Lakewood,80226,SE,S Vance St,W Virginia Av,S Vance St & W Virginia Ave (Stop No. 20454),,Lakewood County
-104.881952,39.65317,"105, 35",Hampden Ave & S Akron St,W,94,Denver,80231,NW,E Hampden Av,S Akron St,Hampden Ave & S Akron St (Stop No. 14132),,Denver County
-105.017108,39.536004,402L,Highlands Ranch Pkwy & Spring Hill Pkwy,W,75,Highlands Ranch,80129,NW,Highlands Ranch Pkwy,Spring Hill Pkwy,Highlands Ranch Pkwy & Spring Hill Pkwy (Stop No. 24971),,Highlands Ranch County
-104.912787,39.805943,88,Monaco St & 60th Ave,N,75,Commerce City,80022,NE,Monaco St,E 60th Ave,Monaco St & 60th Ave (Stop No. 26082),,Commerce City County
-105.1051452,40.00140437,225,Aspen Ridge Dr & Black Diamond Dr,N,45,Lafayette,80026,NE,Aspen Ridge Dr,Black Diamond Dr,Aspen Ridge Dr & Black Diamond Dr (Stop No. 34416),,Lafayette County
-105.2700086,40.02003782,HOP,Pearl St & 20th St,W,65,Boulder,80302,NW,Pearl St,21st St,Pearl St & 20th St (Stop No. 25129),,Boulder County
-105.1667711,39.81234468,125,W 64th Ave & Joyce St,E,90,Arvada,80403,SE,W 64th Pkwy,Joyce St,W 64th Ave & Joyce St (Stop No. 25529),,Arvada County
-105.091023,39.617377,"59, 76, 35",S Wadsworth Blvd & W Crestline Ave,N,225,Denver,80123,SE,S Wadsworth Blvd,W Crestline Ave,S Wadsworth Blvd & W Crestline Ave (Stop No. 19839),,Denver County
-105.00228,39.739974,"36L, 30L, PLFX, 16, 16L",W Colfax Ave & Mariposa St,E,125,Denver,80204,SE,W Colfax Av,Mariposa St,W Colfax Ave & Mariposa St (Stop No. 18863),,Denver County
-105.025385,39.649091,29,S Federal Blvd & W Kenyon Ave,S,75,Sheridan,80110,SW,S Federal Blvd,W Kenyon Av,S Federal Blvd & W Kenyon Ave (Stop No. 19866),,Sheridan County
-105.2554112,40.03734877,"BOLT, BOND",2900 Block Hwy 119,E,250,Boulder,80301,NE,Hwy 119,28th St,2900 Block Hwy 119 (Stop No. 19884),,Boulder County
-104.921933,39.762038,43,MLK Blvd & Holly St,W,75,Denver,80207,NE,Mlk Blvd,Holly St,MLK Blvd & Holly St (Stop No. 19897),,Denver County
