LNG,LAT,ROUTES,STOPNAME,DIR,AMENITIES,DISTANCE_FROM_STREET,DISTRICT,CITY,POSTAL,COUNTY,TEAMBOUNDARY,CORNER,ON_STREET,AT_STREET,STOPNAME_BSID
-104.903368,39.699128,73,S Quebec St & S Parker Rd,N,,300,E,Denver,80247,Denver,East,NE,S Quebec St,Leetsdale Dr,S Quebec St & S Parker Rd (Stop No. 25258)
-104.9906657,39.71124931,"1, 3, 52, 4",W Alameda Ave & S Bannock St,W,B,175,A,Denver,80223,Denver,West,NW,W Alameda Av,S Bannock St,W Alameda Ave & S Bannock St (Stop No. 11954)
-105.10675,40.157612,323,S Pratt Pkwy & Boston Ave {1103},N,,90,I,Longmont,80501,Boulder,North,NE,S Pratt Pkwy,Boston Av,S Pratt Pkwy & Boston Ave {1103} (Stop No. 17803)
-104.987563,39.72632,0,Broadway & Speer Blvd,S,"32, T",140,C,Denver,80204,Denver,East,SW,Broadway,N Speer Blvd S,Broadway & Speer Blvd (Stop No. 17771)
-105.142361,39.756256,"28, 125",Youngfield St & W 27th Ave,N,B,200,M,Lakewood,80215,Jefferson,West,NE,Youngfield St,W 27th Av,Youngfield St & W 27th Ave (Stop No. 17465)
-105.0776139,39.69668786,11,W Mississippi Ave & S Teller St,W,"P, PW",50,M,Lakewood,80226,Jefferson,West,NE,W Mississippi Av,S Teller St,W Mississippi Ave & S Teller St (Stop No. 15456)
-104.772924,39.722189,157,Steamboat Blvd & Aspen St,E,,75,F,Aurora,80011,Arapahoe,East,SW,Steamboat Blvd,Aspen St,Steamboat Blvd & Aspen St (Stop No. 25762)
-104.9966868,39.54688115,401,Highlands Ranch Town Center PnR Gate E,SW,,25,H,Highlands Ranch,80129,Douglas,West,NE,Ridgeline Blvd,Blake St,Highlands Ranch Town Center PnR Gate E (Stop No. 33159)
-104.956487,39.762025,43,MLK Blvd & Elizabeth St,W,,90,B,Denver,80205,Denver,East,NW,Mlk Blvd,Elizabeth St,MLK Blvd & Elizabeth St (Stop No. 15229)
-105.065219,39.733051,9,W 10th Ave & Kendall St,E,,125,M,Lakewood,80214,Jefferson,West,SE,W 10th Av,Kendall St,W 10th Ave & Kendall St (Stop No. 10057)
-104.92206,39.761747,43,MLK Blvd & Holly St,E,,130,B,Denver,80207,Denver,East,SE,Mlk Blvd,Holly St,MLK Blvd & Holly St (Stop No. 21440)
-105.046052,39.762083,32,W 32nd Ave & Vrain St,E,P,65,C,Denver,80212,Denver,West,SE,W 32nd Av,Vrain St,W 32nd Ave & Vrain St (Stop No. 10921)
-104.79096,39.709263,"169, 169L",Airport Blvd & Alameda Dr,N,,75,F,Aurora,80017,Arapahoe,East,SE,Airport Blvd,E Alameda Dr,Airport Blvd & Alameda Dr (Stop No. 24360)
-104.998895,39.720889,PLFX,W 3rd Ave & Santa Fe Dr,E,,150,C,Denver,80223,Denver,West,SE,W 3rd Av,Santa Fe Dr,W 3rd Ave & Santa Fe Dr (Stop No. 24369)
